SEIKO 2PAIRE  STAR Unif 1.50   non traité;2F5ASA;SEI;4.25;6.0;2.25;4;34
SEIKO 2PAIRE  STAR Unif 1.50   non traité;2F5ASA;SEI;6.25;8.0;0.0;0;34
SEIKO 2PAIRE  STAR Unif 1.50   non traité;2F5ASA;SEI;6.25;8.0;0.25;2;34
SEIKO 2PAIRE  STAR Unif 1.50   non traité;2F5ASA;SEI;6.25;8.0;2.25;4;34
SEIKO 2PAIRE  STAR Unif 1.50   non traité;2F5ASA;SEI;8.25;10.0;0.0;0;56
SEIKO 2PAIRE  STAR Unif 1.50   non traité;2F5ASA;SEI;8.25;10.0;0.25;2;56
SEIKO 2PAIRE  STAR Unif 1.50   non traité;2F5ASA;SEI;8.25;10.0;2.25;4;56
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;0.0;2.0;0.0;0;34
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;0.0;2.0;0.25;2;34
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;0.0;2.0;2.25;4;34
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;2.25;4.0;0.0;0;34
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;2.25;4.0;0.25;2;34
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;2.25;4.0;2.25;4;34
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;4.25;6.0;0.0;0;34
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;4.25;6.0;0.25;2;34
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;4.25;6.0;2.25;4;34
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;6.25;8.0;0.0;0;34
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;6.25;8.0;0.25;2;34
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;6.25;8.0;2.25;4;34
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;8.25;10.0;0.0;0;56
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;8.25;10.0;0.25;2;56
SEIKO 2PAIRE  STAR Unif 1.50  durci;2F5ASB;SEI;8.25;10.0;2.25;4;56
SEIKO 2PAIRE STAR Unif. 1.50 SCC;2F5ASJ;SEI;0.0;2.0;0.0;0;54
SEIKO 2PAIRE STAR Unif. 1.50 SCC;2F5ASJ;SEI;0.0;2.0;0.25;2;54
SEIKO 2PAIRE STAR Unif. 1.50 SCC;2F5ASJ;SEI;0.0;2.0;2.25;4;54
SEIKO 2PAIRE STAR Unif. 1.50 SCC;2F5ASJ;SEI;2.25;4.0;0.0;0;54
SEIKO 2PAIRE STAR Unif. 1.50 SCC;2F5ASJ;SEI;2.25;4.0;0.25;2;54
SEIKO 2PAIRE STAR Unif. 1.50 SCC;2F5ASJ;SEI;2.25;4.0;2.25;4;54
SEIKO 2PAIRE STAR Unif. 1.50 SCC;2F5ASJ;SEI;4.25;6.0;0.0;0;54
SEIKO 2PAIRE STAR Unif. 1.50 SCC;2F5ASJ;SEI;4.25;6.0;0.25;2;54
SEIKO 2PAIRE STAR Unif. 1.50 SCC;2F5ASJ;SEI;4.25;6.0;2.25;4;54
SEIKO 2PAIRE STAR Unif. 1.50 SCC;2F5ASJ;SEI;6.25;8.0;0.0;0;54
SEIKO 2PAIRE STAR Unif. 1.50 SCC;2F5ASJ;SEI;6.25;8.0;0.25;2;54
